"日付","摘要","摘要内容","支払い金額","預かり金額","差引残高","メモ","未資金化区分","入払区分"
"2020/1/1","振込ＩＢ１","セイカツヒ","","300,000","524,378","","","振替入金"
"2020/1/6","年金","コクミンネンキン","16,760","","507,618","","","振替支払い"
"2020/1/6","年金","コクミンネンキン","16,760","","490,858","","","振替支払い"
"2020/1/14","カ－ド","","65,000","","425,858","","","支払い"
"2020/1/27","ローン","","63,533","","362,325","","","振替支払い"
"2020/1/31","口座振替３","ロ－ンヘンサイホケン","576","","361,749","","","振替支払い"
"2020/1/31","年金","コクミンネンキン","16,760","","344,989","","","振替支払い"
"2020/1/31","年金","コクミンネンキン","16,760","","328,229","","","振替支払い"
"2020/1/31","口座振替３","コクホリヨウ","55,300","","272,929","","","振替支払い"
"2020/2/1","振込ＩＢ１","セイカツヒ","","300,000","572,929","","","振替入金"
"2020/2/17","利息","ス－パ－フツウ","","2","572,931","","","振替入金"
"2020/2/17","水道","スイドウダイ","26,431","","546,500","","","振替支払い"
"2020/2/26","ローン","","63,533","","482,967","","","振替支払い"
"2020/2/28","口座振替３","ロ－ンヘンサイホケン","574","","482,393","","","振替支払い"
"2020/3/1","振込ＩＢ１","セイカツヒ","","201,000","683,393","","","振替入金"
"2020/3/2","年金","コクミンネンキン","16,760","","666,633","","","振替支払い"
"2020/3/2","年金","コクミンネンキン","16,760","","649,873","","","振替支払い"
"2020/3/2","口座振替３","コクホリヨウ","55,300","","594,573","","","振替支払い"
"2020/3/26","ローン","","63,533","","531,040","","","振替支払い"
"2020/3/31","口座振替３","ロ－ンヘンサイホケン","573","","530,467","","","振替支払い"
"2020/3/31","年金","コクミンネンキン","16,760","","513,707","","","振替支払い"
"2020/3/31","年金","コクミンネンキン","16,760","","496,947","","","振替支払い"
"2020/3/31","口座振替３","コクホリヨウ","55,300","","441,647","","","振替支払い"
"2020/4/1","振込ＩＢ１","セイカツヒ","","260,000","701,647","","","振替入金"
"2020/4/16","水道","スイドウダイ","24,259","","677,388","","","振替支払い"
"2020/4/27","ローン","","63,533","","613,855","","","振替支払い"
"2020/4/30","口座振替３","ロ－ンヘンサイホケン","571","","613,284","","","振替支払い"
"2020/4/30","年金","コクミンネンキン","16,890","","596,394","","","振替支払い"
"2020/4/30","年金","コクミンネンキン","16,890","","579,504","","","振替支払い"
"2020/4/30","税金","コテイゼイ","96,700","","482,804","","","振替支払い"
"2020/5/2","振込ＩＢ１","セイカツヒ","","200,000","682,804","","","振替入金"
"2020/5/26","ローン","","63,533","","619,271","","","振替支払い"
"2020/5/29","口座振替３","ロ－ンヘンサイホケン","570","","618,701","","","振替支払い"
"2020/6/1","年金","コクミンネンキン","16,890","","601,811","","","振替支払い"
"2020/6/1","年金","コクミンネンキン","16,890","","584,921","","","振替支払い"
"2020/6/1","振込ＩＢ１","セイカツヒ","","210,000","794,921","","","振替入金"
"2020/6/16","水道","スイドウダイ","24,259","","770,662","","","振替支払い"
"2020/6/18","カ－ド","","100,000","","670,662","","","支払い"
"2020/6/26","ローン","","63,533","","607,129","","","振替支払い"
"2020/6/30","口座振替３","ロ－ンヘンサイホケン","568","","606,561","","","振替支払い"
"2020/6/30","年金","コクミンネンキン","16,890","","589,671","","","振替支払い"
"2020/6/30","年金","コクミンネンキン","16,890","","572,781","","","振替支払い"
"2020/6/30","口座振替３","コクホリヨウ","66,600","","506,181","","","振替支払い"
"2020/6/30","税金","シケンミンゼイ","324,000","","182,181","","","振替支払い"
"2020/7/2","振込ＩＢ１","セイカツヒ","","500,000","682,181","","","振替入金"
"2020/7/6","口座振替４","セゾン","300","","681,881","","","振替支払い"
"2020/7/27","ローン","","63,533","","618,348","","","振替支払い"
"2020/7/31","口座振替３","ロ－ンヘンサイホケン","567","","617,781","","","振替支払い"
"2020/7/31","口座振替３","ガツコウキユウシヨクヒ","8,540","","609,241","","","振替支払い"
"2020/7/31","年金","コクミンネンキン","16,890","","592,351","","","振替支払い"
"2020/7/31","年金","コクミンネンキン","16,890","","575,461","","","振替支払い"
"2020/7/31","口座振替３","コクホリヨウ","65,800","","509,661","","","振替支払い"
"2020/8/1","振込ＩＢ１","セイカツヒ","","210,000","719,661","","","振替入金"
"2020/8/4","口座振替４","セゾン","2,162","","717,499","","","振替支払い"
"2020/8/17","利息","ス－パ－フツウ","","3","717,502","","","振替入金"
"2020/8/17","水道","スイドウダイ","24,802","","692,700","","","振替支払い"
"2020/8/26","ローン","","63,533","","629,167","","","振替支払い"
"2020/8/31","口座振替３","ロ－ンヘンサイホケン","565","","628,602","","","振替支払い"
"2020/8/31","年金","コクミンネンキン","16,890","","611,712","","","振替支払い"
"2020/8/31","年金","コクミンネンキン","16,890","","594,822","","","振替支払い"
"2020/8/31","口座振替３","コクホリヨウ","65,800","","529,022","","","振替支払い"
"2020/9/1","振込ＩＢ１","セイカツヒ","","210,000","739,022","","","振替入金"
"2020/9/4","口座振替４","セゾン","693","","738,329","","","振替支払い"
"2020/9/10","カ－ド","","100,000","","638,329","","","支払い"
"2020/9/28","ローン","","63,533","","574,796","","","振替支払い"
"2020/9/30","口座振替３","ロ－ンヘンサイホケン","564","","574,232","","","振替支払い"
"2020/9/30","口座振替３","ガツコウキユウシヨクヒ","8,540","","565,692","","","振替支払い"
"2020/9/30","年金","コクミンネンキン","16,890","","548,802","","","振替支払い"
"2020/9/30","年金","コクミンネンキン","16,890","","531,912","","","振替支払い"
"2020/9/30","口座振替３","コクホリヨウ","65,800","","466,112","","","振替支払い"
"2020/10/1","振込ＩＢ１","セイカツヒ","","300,000","766,112","","","振替入金"
"2020/10/5","口座振替４","セゾン","1,641","","764,471","","","振替支払い"
"2020/10/16","水道","スイドウダイ","26,974","","737,497","","","振替支払い"
"2020/10/26","ローン","","63,533","","673,964","","","振替支払い"
"2020/10/30","口座振替３","ロ－ンヘンサイホケン","562","","673,402","","","振替支払い"
