"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","10月支払金額","11月繰越残高","新規サイン"
"2020/10/03","楽天ゴールドカード年会費／２１年０８月迄","本人","1回払い","2200","0","2200","2200","0","*"
"2020/09/27","MSFT *<E0400C6APY>利用国JP","本人","1回払い","990","0","990","990","0","*"
"","現地利用額　　　　　　　９９０．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/24","鹿児島県日置市","本人","1回払い","10000","0","10000","10000","0","*"
"2020/09/23","熊本県天草市","本人","1回払い","10000","0","10000","10000","0","*"
"2020/09/21","AMAZON.CO.JP","本人","1回払い","1650","0","1650","1650","0","*"
"2020/09/21","楽天ブックス","本人","1回払い","1980","0","1980","1980","0","*"
"2020/09/21","楽天ブックス","本人","1回払い","3069","0","3069","3069","0","*"
"2020/09/18","AMAZON.CO.JP","本人","1回払い","3340","0","3340","3340","0","*"
"2020/09/17","AMAZON.CO.JP","本人","1回払い","2255","0","2255","2255","0","*"
"2020/09/17","AMAZON.CO.JP","本人","1回払い","585","0","585","585","0","*"
"2020/09/17","AMAZON.CO.JP","本人","1回払い","849","0","849","849","0","*"
"2020/09/17","AMAZON.CO.JP","本人","1回払い","629","0","629","629","0","*"
"2020/09/16","ﾏﾙｾﾞﾝ","本人","1回払い","4526","0","4526","4526","0","*"
"2020/09/13","GUM.CO/CC* 100利用国US","本人","1回払い","8125","0","8125","8125","0","*"
"","現地利用額　　　　　　　　７５．２１０変換レート　１０８．０３１円","","","","","","","",""
"2020/09/13","AMAZON.CO.JP","本人","1回払い","2860","0","2860","2860","0","*"
"2020/09/13","イオンリテール","本人","1回払い","1174","0","1174","1174","0","*"
"2020/09/13","イオンリテール","本人","1回払い","877","0","877","877","0","*"
"2020/09/13","イオンリテール","本人","1回払い","220","0","220","220","0","*"
"2020/09/12","ﾋﾞﾂｸﾞﾛ-ﾌﾞﾘﾖｳﾘﾖｳ","本人","1回払い","4430","0","4430","4430","0","*"
"2020/09/11","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/09/11","ｼ-ﾃﾞｲ-ｴﾅｼﾞ-ﾀﾞｲﾚｸﾄ","本人","1回払い","11165","0","11165","11165","0","*"
"2020/09/09","コジマ楽天市場店","本人","1回払い","4048","0","4048","4048","0","*"
"2020/09/09","AMAZON.CO.JP","本人","1回払い","1320","0","1320","1320","0","*"
"2020/09/05","AMAZON.CO.JP","本人","1回払い","1000","0","1000","1000","0","*"
"2020/09/05","AMAZON.CO.JP","本人","1回払い","6898","0","6898","6898","0","*"
"2020/09/02","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2020/09/01","AMAZON.CO.JP","本人","1回払い","10538","0","10538","10538","0","*"
"2020/08/31","ｿﾈﾂﾄ","本人","1回払い","1466","0","1466","1466","0","*"
"2020/08/31","ｿﾈﾂﾄ","本人","1回払い","3249","0","3249","3249","0","*"
"2020/08/31","ﾏﾈｰﾌｵﾜｰﾄﾞ","本人","1回払い","500","0","500","500","0","*"
"2020/08/26","ｶﾞｽ2020/08","本人","1回払い","4987","0","4987","4987","0","*"
