会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年06月04日
今回お支払金額,"80,058"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** yyy　ooo
2020/04/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2020/04/04,おおお,"2,208",,"2,208",１回払,,"2,208",,   ,
2020/04/04,あああ,"7,331",,"7,331",１回払,,"7,331",,   ,
2020/04/04,いいい,"6,684",,"6,684",１回払,,"6,684",,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/09,ううう,10,,10,１回払,,10,,   ,
2020/04/11,おおお,277,,277,１回払,,277,,   ,
2020/04/11,おおお,"11,252",,"11,252",１回払,,"11,252",,   ,
2020/04/11,あああ,"8,649",,"8,649",１回払,,"8,649",,   ,
2020/04/15,ううう,100,,100,１回払,,100,,   ,
2020/04/15,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"1,197",,"1,197",１回払,,"1,197",,   ,
2020/04/16,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,"3,370",,"3,370",１回払,,"3,370",,   ,
2020/04/17,Ｎｉｎｔｅｎｄｏ　ｅＳｈｏｐ,306,,306,１回払,,306,,   ,
2020/04/18,あああ,"12,127",,"12,127",１回払,,"12,127",,   ,
2020/04/21,ううう,50,,50,１回払,,50,,   ,
2020/04/24,おおお,"7,096",,"7,096",１回払,,"7,096",,   ,
2020/04/25,マクドナルド,"1,910",,"1,910",１回払,,"1,910",,   ,
2020/04/25,あああ,"10,747",,"10,747",１回払,,"10,747",,   ,
2020/04/25,えええ,"1,141",,"1,141",１回払,,"1,141",,   ,
2020/04/27,ううう,640,,640,１回払,,640,,   ,
2020/05/01,消費者還元,-392,,0,,,0,,   ,
,ご入金等による充当額,,,,,,-392,,,

払戻日,払戻箇所,払戻額,ご利用年月日,ご利用箇所,充当額,返金予定額,備考
****-****-****-**** ooo　yyy
2020/05/01,消費者還元,392,,２０２０年０６月請求分,392,0,払戻しの場合は、お取扱いの期日により、ご請求時とご相殺または、ご返金いたします。
